Order_Date,Region,Category,Segment,Quantity,Sales,Profit
2022-01-10,North,Office Supplies,Consumer,3,165.04,52.73
2022-01-10,West,Electronics,Corporate,5,2125.34,452.99
2022-01-10,West,Food & Beverage,Consumer,7,221.43,40.53
2022-01-10,East,Food & Beverage,Consumer,5,165.55,20.93
2022-01-10,South,Electronics,Corporate,1,374.0,83.3
2022-01-10,South,Food & Beverage,Home Office,3,81.3,10.87
2022-01-11,South,Furniture,Consumer,7,3952.15,976.85
2022-01-11,West,Electronics,Corporate,4,1758.48,380.81
2022-01-11,South,Furniture,Consumer,3,1774.14,292.27
2022-01-11,North,Clothing,Corporate,5,356.87,148.35
2022-01-11,West,Electronics,Corporate,4,1525.32,205.95
2022-01-11,East,Clothing,Consumer,3,196.78,68.57
2022-01-11,North,Food & Beverage,Corporate,4,109.61,12.67
2022-01-11,East,Electronics,Corporate,4,1803.77,300.3
2022-01-11,North,Electronics,Consumer,6,2591.56,600.24
2022-01-11,East,Office Supplies,Consumer,5,284.13,59.21
2022-01-11,East,Food & Beverage,Consumer,7,224.99,37.71
2022-01-12,West,Food & Beverage,Consumer,5,144.61,17.63
2022-01-12,South,Furniture,Consumer,4,1948.75,550.76
2022-01-12,West,Electronics,Consumer,5,2170.22,433.94
2022-01-12,North,Clothing,Home Office,2,145.04,53.24
2022-01-12,West,Furniture,Home Office,2,1132.98,199.13
2022-01-13,North,Electronics,Consumer,7,3085.73,659.71
2022-01-13,West,Clothing,Corporate,5,397.78,160.7
2022-01-13,South,Office Supplies,Consumer,6,275.79,66.78
2022-01-13,North,Electronics,Corporate,2,760.87,105.2
2022-01-13,East,Furniture,Consumer,3,1686.43,449.41
2022-01-13,East,Office Supplies,Consumer,3,144.69,31.62
2022-01-13,North,Office Supplies,Corporate,2,108.43,37.7
2022-01-13,East,Furniture,Consumer,2,1163.34,264.35
2022-01-13,North,Furniture,Consumer,6,3303.21,905.68
2022-01-14,North,Office Supplies,Consumer,6,310.42,73.37
2022-01-14,North,Electronics,Consumer,7,2702.43,544.13
2022-01-14,North,Food & Beverage,Consumer,3,103.75,15.7
2022-01-14,West,Office Supplies,Consumer,3,163.64,41.56
2022-01-14,South,Office Supplies,Corporate,5,245.8,56.7
2022-01-14,South,Furniture,Corporate,1,491.19,106.84
2022-01-14,East,Clothing,Home Office,5,317.42,135.65
2022-01-15,East,Furniture,Consumer,3,1789.07,486.93
2022-01-15,South,Food & Beverage,Consumer,2,59.55,8.38
2022-01-15,North,Office Supplies,Consumer,7,330.13,76.43
2022-01-15,South,Food & Beverage,Consumer,5,160.06,26.59
2022-01-15,East,Office Supplies,Consumer,4,201.5,59.36
2022-01-15,East,Electronics,Corporate,2,745.42,123.15
2022-01-15,East,Furniture,Consumer,3,1926.86,450.81
2022-01-16,North,Clothing,Consumer,6,405.04,175.51
2022-01-16,North,Clothing,Consumer,5,428.35,115.02
2022-01-16,South,Food & Beverage,Home Office,7,239.04,30.65
2022-01-17,South,Clothing,Consumer,4,276.61,74.44
2022-01-17,East,Office Supplies,Corporate,7,347.76,99.28
2022-01-17,North,Furniture,Consumer,5,2442.25,695.25
2022-01-17,South,Furniture,Consumer,7,4148.77,1055.24
2022-01-17,East,Clothing,Consumer,1,82.83,33.27
2022-01-17,South,Office Supplies,Corporate,1,45.54,11.83
2022-01-17,West,Food & Beverage,Home Office,3,101.98,12.56
2022-01-18,South,Clothing,Corporate,1,80.62,28.26
2022-01-18,North,Electronics,Consumer,2,810.92,181.56
2022-01-18,East,Clothing,Consumer,3,233.76,73.71
2022-01-18,North,Office Supplies,Consumer,6,335.64,110.25
2022-01-18,North,Electronics,Corporate,3,1288.56,167.03
2022-01-18,East,Furniture,Consumer,2,1072.32,281.38
2022-01-19,North,Food & Beverage,Corporate,3,97.9,16.39
2022-01-19,South,Clothing,Corporate,4,271.85,118.47
2022-01-19,East,Furniture,Home Office,4,2532.68,436.54
2022-01-19,North,Electronics,Consumer,4,1647.67,225.79
2022-01-19,West,Office Supplies,Home Office,7,314.1,91.97
2022-01-20,West,Clothing,Corporate,5,362.53,145.48
2022-01-20,North,Electronics,Consumer,1,354.8,60.59
2022-01-20,West,Furniture,Consumer,3,1813.28,387.48
2022-01-20,North,Food & Beverage,Home Office,6,169.82,25.45
2022-01-20,South,Electronics,Consumer,7,2621.19,392.58
2022-01-20,North,Electronics,Consumer,4,1585.16,295.14
2022-01-20,West,Office Supplies,Consumer,7,361.12,74.85
2022-01-20,East,Clothing,Corporate,6,411.45,117.28
2022-01-20,North,Clothing,Consumer,6,480.37,170.92
2022-01-21,East,Furniture,Consumer,6,3416.29,887.21
2022-01-21,West,Furniture,Home Office,1,573.64,107.57
2022-01-21,North,Office Supplies,Corporate,1,54.73,12.37
2022-01-21,East,Furniture,Home Office,6,3494.2,910.25
2022-01-21,West,Food & Beverage,Corporate,5,152.5,20.46
2022-01-21,North,Furniture,Consumer,7,4367.11,743.31
2022-01-22,West,Office Supplies,Consumer,6,289.18,98.51
2022-01-22,North,Furniture,Corporate,1,628.01,137.12
2022-01-22,West,Electronics,Consumer,1,374.23,69.04
2022-01-22,East,Electronics,Consumer,3,1178.06,165.27
2022-01-22,West,Furniture,Consumer,3,1860.67,416.63
2022-01-22,West,Electronics,Consumer,1,390.7,70.22
2022-01-22,East,Office Supplies,Consumer,5,233.51,56.22
2022-01-22,East,Furniture,Corporate,1,564.53,129.66
2022-01-23,East,Office Supplies,Consumer,3,144.42,45.75
2022-01-23,North,Clothing,Home Office,7,554.29,244.85
2022-01-23,East,Electronics,Consumer,7,2616.87,497.91
2022-01-23,North,Clothing,Corporate,2,156.54,53.94
2022-01-23,South,Electronics,Consumer,5,2126.51,367.8
2022-01-23,North,Clothing,Consumer,4,319.55,96.55
2022-01-23,East,Clothing,Consumer,3,254.78,69.74
2022-01-24,South,Clothing,Home Office,5,397.02,100.95
2022-01-24,East,Electronics,Consumer,5,1998.52,319.34
2022-01-24,North,Electronics,Consumer,2,786.97,166.76
2022-01-24,East,Food & Beverage,Home Office,2,63.38,10.33
2022-01-24,East,Clothing,Corporate,5,329.82,129.03
2022-01-24,South,Food & Beverage,Corporate,1,31.84,5.24
2022-01-24,East,Electronics,Home Office,2,896.95,153.46
2022-01-24,South,Furniture,Consumer,7,3592.2,735.26
2022-01-24,West,Clothing,Home Office,4,261.65,68.97
2022-01-24,North,Food & Beverage,Corporate,4,144.21,25.11
2022-01-25,North,Food & Beverage,Corporate,5,135.9,14.49
2022-01-25,West,Electronics,Consumer,1,425.05,63.58
2022-01-25,West,Office Supplies,Consumer,4,196.67,67.59
2022-01-25,West,Clothing,Home Office,2,136.14,61.69
2022-01-25,North,Food & Beverage,Home Office,6,195.16,29.5
2022-01-26,East,Office Supplies,Consumer,7,323.14,91.47
2022-01-26,East,Electronics,Consumer,2,811.01,145.21
2022-01-26,West,Clothing,Home Office,6,470.87,189.31
2022-01-27,South,Clothing,Home Office,4,260.76,81.9
2022-01-27,West,Clothing,Consumer,4,291.42,87.29
2022-01-27,East,Furniture,Corporate,5,2602.07,635.4
2022-01-27,North,Electronics,Consumer,5,2008.16,381.51
2022-01-27,West,Furniture,Corporate,5,2641.99,713.28
2022-01-28,West,Furniture,Home Office,5,3050.28,534.47
2022-01-28,West,Office Supplies,Corporate,7,321.18,67.49
2022-01-28,South,Electronics,Corporate,7,2725.3,346.06
2022-01-28,West,Clothing,Corporate,2,148.52,62.59
2022-01-28,South,Office Supplies,Consumer,4,182.36,59.36
2022-01-28,West,Electronics,Corporate,1,414.25,67.67
2022-01-28,East,Clothing,Home Office,6,519.42,232.94
2022-01-28,East,Clothing,Corporate,4,259.97,64.9
2022-01-28,South,Clothing,Consumer,7,522.01,157.89
2022-01-28,West,Electronics,Consumer,1,363.49,77.0
2022-01-28,East,Food & Beverage,Home Office,7,233.06,38.2
2022-01-28,North,Electronics,Home Office,4,1729.33,387.77
2022-01-28,West,Food & Beverage,Consumer,1,31.04,4.13
2022-01-29,North,Office Supplies,Corporate,7,349.07,99.52
2022-01-29,North,Office Supplies,Consumer,5,284.09,101.86
2022-01-29,North,Electronics,Consumer,7,2513.49,502.8
2022-01-29,South,Electronics,Consumer,6,2487.05,385.62
2022-01-29,East,Clothing,Home Office,1,64.74,16.85
2022-01-29,South,Clothing,Corporate,1,86.16,37.53
2022-01-29,East,Clothing,Consumer,1,66.82,24.38
2022-01-29,North,Food & Beverage,Corporate,2,68.44,12.98
2022-01-29,North,Electronics,Consumer,5,1769.45,380.52
2022-01-30,East,Clothing,Consumer,3,195.71,86.43
2022-01-30,North,Electronics,Corporate,2,840.06,176.92
2022-01-30,East,Clothing,Home Office,4,312.49,128.0
2022-01-30,South,Electronics,Consumer,6,2124.02,281.47
2022-01-30,North,Office Supplies,Consumer,3,139.02,50.04
2022-01-30,South,Office Supplies,Corporate,7,305.72,68.22
2022-01-31,South,Food & Beverage,Consumer,3,86.97,12.41
2022-01-31,North,Food & Beverage,Consumer,5,169.0,29.04
2022-01-31,South,Food & Beverage,Corporate,6,217.64,23.64
2022-02-01,East,Office Supplies,Corporate,3,164.55,43.46
2022-02-01,East,Furniture,Consumer,6,3432.19,715.68
2022-02-01,North,Electronics,Consumer,4,1574.79,299.27
2022-02-01,East,Food & Beverage,Corporate,6,198.63,26.44
2022-02-01,South,Clothing,Corporate,7,545.99,202.41
2022-02-01,South,Clothing,Home Office,6,410.73,145.46
2022-02-01,South,Electronics,Consumer,4,1663.71,380.07
2022-02-01,North,Food & Beverage,Consumer,3,101.72,16.76
2022-02-01,South,Electronics,Corporate,4,1798.09,334.95
2022-02-01,South,Food & Beverage,Consumer,2,56.16,7.07
2022-02-01,North,Electronics,Consumer,6,2198.05,297.98
2022-02-02,South,Office Supplies,Home Office,7,328.59,93.2
2022-02-02,South,Food & Beverage,Consumer,6,179.09,30.16
2022-02-02,North,Furniture,Consumer,7,4197.55,892.29
2022-02-02,West,Furniture,Corporate,7,4523.22,1104.52
2022-02-02,South,Electronics,Home Office,7,2898.09,374.67
2022-02-02,West,Food & Beverage,Corporate,3,107.59,19.3
2022-02-03,North,Clothing,Home Office,5,410.48,180.36
2022-02-03,South,Furniture,Corporate,1,539.07,144.85
2022-02-03,South,Electronics,Consumer,1,389.33,65.71
2022-02-03,East,Food & Beverage,Corporate,1,29.19,4.05
2022-02-03,North,Furniture,Corporate,6,3568.46,907.22
2022-02-03,South,Office Supplies,Home Office,2,100.76,20.18
2022-02-03,South,Food & Beverage,Consumer,5,146.36,21.65
2022-02-03,South,Furniture,Corporate,3,1463.75,263.24
2022-02-03,North,Office Supplies,Home Office,1,53.05,13.79
2022-02-04,South,Clothing,Home Office,4,307.86,95.55
2022-02-04,East,Furniture,Consumer,5,2778.68,472.62
2022-02-04,North,Food & Beverage,Consumer,5,143.49,18.88
2022-02-04,East,Office Supplies,Consumer,4,198.26,41.76
2022-02-05,East,Office Supplies,Home Office,1,55.2,16.82
2022-02-05,North,Electronics,Home Office,1,373.79,78.61
2022-02-05,North,Clothing,Home Office,7,559.41,148.28
2022-02-05,East,Electronics,Consumer,5,1827.01,375.6
2022-02-06,East,Food & Beverage,Consumer,3,87.48,12.26
2022-02-06,East,Electronics,Home Office,3,1253.17,249.37
2022-02-06,South,Office Supplies,Corporate,1,43.37,10.99
2022-02-07,South,Food & Beverage,Consumer,4,110.41,19.55
2022-02-07,North,Office Supplies,Consumer,2,106.98,25.12
2022-02-07,South,Furniture,Home Office,2,1094.83,312.47
2022-02-07,South,Food & Beverage,Consumer,4,111.21,21.3
2022-02-07,East,Electronics,Consumer,2,713.69,124.64
2022-02-07,East,Electronics,Consumer,4,1611.62,269.64
2022-02-07,North,Clothing,Consumer,5,407.67,165.68
2022-02-07,North,Office Supplies,Consumer,6,266.94,86.19
2022-02-07,North,Food & Beverage,Corporate,2,55.12,6.37
2022-02-08,South,Clothing,Consumer,7,603.6,258.58
2022-02-08,North,Clothing,Corporate,4,336.6,97.21
2022-02-08,West,Furniture,Corporate,5,2752.45,742.87
2022-02-08,West,Clothing,Corporate,4,333.62,104.33
2022-02-09,West,Furniture,Corporate,1,583.83,126.85
2022-02-09,South,Electronics,Corporate,6,2676.76,429.07
2022-02-10,East,Food & Beverage,Consumer,6,211.79,27.53
2022-02-10,West,Office Supplies,Consumer,2,106.07,23.5
2022-02-10,North,Clothing,Consumer,1,66.03,29.97
2022-02-10,North,Electronics,Consumer,1,362.43,50.42
2022-02-10,South,Clothing,Consumer,4,315.28,119.17
2022-02-10,North,Office Supplies,Corporate,4,183.13,56.07
2022-02-10,West,Furniture,Consumer,4,2218.52,533.19
2022-02-11,North,Office Supplies,Consumer,7,363.97,112.98
2022-02-11,North,Office Supplies,Consumer,5,279.17,84.23
2022-02-11,North,Office Supplies,Home Office,4,195.15,46.97
2022-02-11,East,Office Supplies,Home Office,7,317.84,69.09
2022-02-11,West,Food & Beverage,Corporate,3,91.6,12.87
2022-02-11,South,Office Supplies,Home Office,1,57.68,18.93
2022-02-12,West,Office Supplies,Home Office,7,372.14,128.9
2022-02-12,East,Electronics,Consumer,5,1816.52,373.55
2022-02-12,South,Office Supplies,Consumer,1,54.49,16.71
2022-02-12,West,Clothing,Consumer,5,381.51,124.52
2022-02-12,South,Food & Beverage,Consumer,7,251.43,44.14
2022-02-13,North,Food & Beverage,Home Office,1,36.23,5.98
2022-02-13,North,Food & Beverage,Corporate,6,165.65,31.7
2022-02-13,South,Furniture,Consumer,4,2140.85,606.62
2022-02-13,East,Office Supplies,Home Office,4,182.01,37.01
2022-02-13,North,Furniture,Consumer,1,549.45,124.51
2022-02-14,West,Furniture,Home Office,7,4448.12,836.75
2022-02-14,South,Office Supplies,Corporate,5,289.96,93.28
2022-02-14,East,Food & Beverage,Consumer,6,204.62,26.45
2022-02-14,South,Office Supplies,Consumer,5,267.66,56.59
2022-02-14,West,Clothing,Consumer,4,325.53,116.82
2022-02-14,East,Clothing,Consumer,3,204.36,54.09
2022-02-15,West,Furniture,Consumer,2,1223.62,320.09
2022-02-15,East,Furniture,Consumer,5,2884.83,643.86
2022-02-15,West,Furniture,Consumer,1,486.68,123.1
2022-02-15,East,Food & Beverage,Consumer,3,104.81,15.44
2022-02-15,South,Furniture,Consumer,5,2974.37,764.45
2022-02-15,North,Furniture,Consumer,5,2425.57,430.65
2022-02-15,North,Food & Beverage,Consumer,5,139.08,21.97
2022-02-15,South,Clothing,Consumer,2,154.9,56.19
2022-02-15,East,Furniture,Corporate,3,1592.88,418.78
2022-02-16,South,Furniture,Corporate,7,4380.14,975.37
2022-02-16,South,Electronics,Consumer,2,779.57,103.49
2022-02-17,East,Food & Beverage,Consumer,1,35.94,4.43
2022-02-17,East,Furniture,Consumer,5,3020.54,698.73
2022-02-17,East,Electronics,Home Office,3,1376.45,211.98
2022-02-17,South,Clothing,Consumer,5,377.74,127.07
2022-02-17,West,Food & Beverage,Consumer,4,109.54,20.41
2022-02-17,West,Electronics,Consumer,1,363.77,69.81
2022-02-17,North,Food & Beverage,Corporate,4,108.15,14.11
2022-02-18,North,Food & Beverage,Corporate,2,58.96,10.22
2022-02-19,North,Furniture,Corporate,5,2874.02,598.56
2022-02-19,South,Furniture,Corporate,3,1945.22,443.4
2022-02-19,West,Furniture,Home Office,6,3652.12,1035.49
2022-02-19,North,Clothing,Corporate,5,386.95,132.5
2022-02-20,North,Electronics,Corporate,5,1857.39,315.07
2022-02-20,South,Electronics,Corporate,6,2227.95,484.51
2022-02-20,South,Office Supplies,Home Office,1,53.13,14.54
2022-02-20,South,Office Supplies,Corporate,4,175.72,49.57
2022-02-20,West,Furniture,Home Office,3,1853.33,334.67
2022-02-21,West,Food & Beverage,Home Office,3,107.45,16.7
2022-02-21,East,Electronics,Consumer,1,355.06,57.92
2022-02-21,North,Furniture,Consumer,6,3280.12,700.71
2022-02-21,South,Clothing,Corporate,3,206.65,58.73
2022-02-21,North,Food & Beverage,Corporate,4,117.87,15.69
2022-02-22,East,Office Supplies,Home Office,2,90.96,25.58
2022-02-22,East,Office Supplies,Corporate,3,143.0,47.21
2022-02-22,West,Clothing,Home Office,4,324.78,101.37
2022-02-22,West,Office Supplies,Home Office,5,269.55,67.46
2022-02-22,West,Furniture,Consumer,7,3535.15,864.93
2022-02-22,North,Food & Beverage,Corporate,2,57.63,8.02
2022-02-23,North,Clothing,Home Office,6,409.68,161.63
2022-02-23,West,Electronics,Consumer,4,1811.04,372.87
2022-02-23,North,Clothing,Corporate,6,486.56,201.58
2022-02-23,West,Clothing,Corporate,4,324.49,86.75
2022-02-23,South,Food & Beverage,Corporate,6,209.41,26.27
2022-02-23,West,Clothing,Corporate,1,69.23,22.2
2022-02-23,North,Electronics,Consumer,6,2610.39,583.66
2022-02-23,North,Electronics,Corporate,5,2259.85,443.57
2022-02-23,West,Clothing,Corporate,3,219.55,71.29
2022-02-24,North,Furniture,Home Office,6,3768.91,725.79
2022-02-24,West,Furniture,Corporate,4,1940.66,545.5
2022-02-24,East,Clothing,Corporate,1,70.67,30.27
2022-02-24,North,Office Supplies,Corporate,1,46.51,9.21
2022-02-24,South,Electronics,Home Office,5,1893.96,299.99
2022-02-25,North,Office Supplies,Home Office,6,295.8,71.28
2022-02-25,East,Office Supplies,Corporate,5,233.14,54.32
2022-02-25,South,Office Supplies,Consumer,5,216.54,74.04
2022-02-25,North,Electronics,Consumer,7,2761.85,442.53
2022-02-25,South,Electronics,Consumer,4,1584.46,303.53
2022-02-25,East,Food & Beverage,Corporate,3,87.0,13.15
2022-02-25,North,Food & Beverage,Consumer,6,175.44,22.71
2022-02-26,North,Furniture,Home Office,3,1584.63,447.25
2022-02-26,South,Electronics,Corporate,6,2495.7,390.11
2022-02-26,North,Office Supplies,Corporate,1,42.89,9.98
2022-02-26,North,Food & Beverage,Consumer,7,240.14,37.58
2022-02-26,South,Clothing,Consumer,1,73.15,19.26
2022-02-27,North,Electronics,Consumer,3,1174.27,263.06
2022-02-27,East,Food & Beverage,Corporate,1,34.47,6.58
2022-02-27,West,Electronics,Corporate,7,2998.86,646.54
2022-02-27,North,Food & Beverage,Corporate,2,65.95,11.68
2022-02-27,East,Office Supplies,Consumer,4,204.07,70.86
2022-02-27,South,Clothing,Consumer,7,514.01,195.67
2022-02-27,East,Clothing,Corporate,2,150.91,41.37
2022-02-27,North,Food & Beverage,Consumer,6,167.05,31.11
2022-02-28,South,Clothing,Consumer,7,539.47,137.13
2022-02-28,North,Electronics,Consumer,1,429.34,84.34
2022-02-28,West,Clothing,Consumer,3,197.34,70.83
2022-03-01,West,Furniture,Consumer,6,3594.51,880.19
2022-03-01,South,Food & Beverage,Consumer,4,108.27,18.79
2022-03-01,West,Clothing,Consumer,4,290.02,71.46
2022-03-01,South,Clothing,Consumer,1,66.24,28.01
2022-03-01,South,Food & Beverage,Corporate,6,185.5,30.97
2022-03-01,North,Office Supplies,Consumer,3,151.92,33.24
2022-03-01,North,Clothing,Consumer,2,145.75,45.3
2022-03-02,South,Food & Beverage,Home Office,1,35.86,4.7
2022-03-02,West,Food & Beverage,Consumer,6,190.2,22.61
2022-03-02,East,Furniture,Consumer,5,3100.11,657.65
2022-03-02,South,Office Supplies,Consumer,1,50.21,15.56
2022-03-02,North,Clothing,Corporate,3,202.8,74.51
2022-03-03,East,Clothing,Consumer,5,335.64,142.32
2022-03-03,East,Clothing,Consumer,3,252.82,100.28
2022-03-03,South,Food & Beverage,Consumer,6,203.99,23.71
2022-03-03,East,Food & Beverage,Consumer,2,70.88,8.39
2022-03-03,South,Food & Beverage,Consumer,6,192.63,26.73
2022-03-03,North,Electronics,Corporate,7,2706.63,490.49
2022-03-03,South,Furniture,Corporate,5,3220.43,669.21
2022-03-04,West,Clothing,Consumer,3,221.38,77.97
2022-03-04,East,Furniture,Consumer,5,2414.97,649.89
2022-03-04,South,Office Supplies,Consumer,2,94.95,30.3
2022-03-04,South,Clothing,Home Office,2,164.68,50.54
2022-03-04,North,Electronics,Consumer,5,2143.02,303.08
2022-03-04,East,Office Supplies,Home Office,1,53.96,18.24
2022-03-04,East,Electronics,Corporate,6,2332.05,396.37
2022-03-04,North,Clothing,Corporate,6,491.32,218.15
2022-03-05,South,Furniture,Consumer,6,2913.9,476.78
2022-03-05,South,Food & Beverage,Home Office,3,102.09,19.26
2022-03-05,South,Clothing,Consumer,7,520.27,152.16
2022-03-05,East,Office Supplies,Consumer,3,143.32,43.69
2022-03-06,East,Furniture,Corporate,4,2110.02,405.71
2022-03-06,East,Food & Beverage,Consumer,7,232.44,32.8
2022-03-06,North,Furniture,Consumer,2,1195.79,227.01
2022-03-06,South,Electronics,Consumer,2,865.0,175.79
2022-03-06,East,Electronics,Consumer,2,789.4,128.48
2022-03-06,West,Office Supplies,Home Office,1,47.74,11.53
2022-03-07,East,Furniture,Corporate,4,2328.26,574.87
2022-03-07,North,Office Supplies,Corporate,5,225.12,54.65
2022-03-07,North,Food & Beverage,Corporate,6,173.66,25.66
2022-03-07,East,Office Supplies,Consumer,5,248.68,64.83
2022-03-07,West,Clothing,Consumer,2,155.29,63.18
2022-03-07,North,Electronics,Consumer,5,2182.69,475.47
2022-03-07,North,Electronics,Home Office,6,2660.77,397.25
2022-03-07,East,Office Supplies,Consumer,1,44.33,13.54
2022-03-08,South,Electronics,Home Office,6,2396.08,371.15
2022-03-08,West,Office Supplies,Consumer,2,85.04,18.44
2022-03-08,South,Electronics,Corporate,6,2406.86,457.96
2022-03-08,North,Clothing,Home Office,2,149.9,58.05
2022-03-08,South,Food & Beverage,Consumer,1,31.25,6.03
2022-03-08,North,Office Supplies,Consumer,7,379.82,82.12
2022-03-08,North,Office Supplies,Consumer,7,349.65,88.98
2022-03-09,North,Food & Beverage,Corporate,4,136.92,14.67
2022-03-10,North,Furniture,Corporate,5,2992.39,647.98
2022-03-10,North,Furniture,Home Office,7,4233.5,1205.93
2022-03-10,South,Food & Beverage,Corporate,1,28.4,3.48
2022-03-10,North,Furniture,Home Office,3,1710.62,296.62
2022-03-10,West,Food & Beverage,Consumer,4,129.11,22.97
2022-03-10,West,Food & Beverage,Corporate,7,230.16,25.46
2022-03-11,East,Clothing,Consumer,1,84.34,30.04
2022-03-12,West,Furniture,Corporate,6,3264.08,521.58
2022-03-12,North,Office Supplies,Consumer,5,213.44,72.09
2022-03-12,West,Office Supplies,Corporate,7,318.72,113.91
2022-03-12,North,Clothing,Consumer,3,254.14,92.66
2022-03-13,East,Clothing,Consumer,1,84.09,29.81
2022-03-13,West,Office Supplies,Home Office,6,314.93,74.81
2022-03-13,East,Electronics,Consumer,2,852.43,153.34
2022-03-13,North,Furniture,Corporate,4,2500.25,460.51
2022-03-13,East,Furniture,Consumer,2,1113.29,290.23
2022-03-13,North,Clothing,Consumer,3,247.93,60.77
2022-03-14,North,Clothing,Home Office,3,206.37,77.52
2022-03-14,West,Office Supplies,Corporate,3,143.78,48.65
2022-03-14,West,Furniture,Home Office,4,1899.06,502.98
2022-03-14,East,Office Supplies,Consumer,1,43.98,13.64
2022-03-14,North,Food & Beverage,Corporate,3,93.95,13.48
2022-03-14,South,Clothing,Consumer,4,288.84,125.58
2022-03-14,West,Office Supplies,Consumer,4,215.75,74.51
2022-03-14,South,Office Supplies,Corporate,1,46.16,13.65
2022-03-15,West,Electronics,Consumer,3,1296.52,209.88
2022-03-15,East,Furniture,Home Office,2,1228.75,276.67
2022-03-15,North,Office Supplies,Consumer,6,298.59,85.21
2022-03-16,North,Office Supplies,Consumer,3,163.81,33.54
2022-03-16,North,Food & Beverage,Consumer,7,223.33,31.81
2022-03-16,East,Furniture,Consumer,6,3621.64,678.59
2022-03-16,North,Electronics,Consumer,3,1351.71,229.55
2022-03-17,East,Clothing,Consumer,6,451.0,200.68
2022-03-17,North,Electronics,Consumer,4,1626.25,227.73
2022-03-17,East,Electronics,Corporate,1,352.59,81.46
2022-03-17,South,Furniture,Corporate,7,3805.26,1048.62
2022-03-17,East,Office Supplies,Home Office,1,42.0,8.6
2022-03-18,East,Office Supplies,Home Office,1,46.03,12.75
2022-03-18,South,Food & Beverage,Consumer,3,99.21,11.53
2022-03-18,East,Electronics,Home Office,5,1715.64,319.74
2022-03-18,South,Electronics,Corporate,3,1146.02,182.62
2022-03-19,West,Electronics,Corporate,7,2572.91,584.08
2022-03-19,West,Clothing,Corporate,4,307.31,78.64
2022-03-19,South,Office Supplies,Consumer,3,142.16,50.19
